,cg18649438,cg12633154,cg01856645,cg10568066,cg13401893,cg04193820,cg09296957,cg19867917,cg26615126,cg06501366,cg06791446,cg24503407,cg16430428,cg26730543,cg11805311,cg09715672,cg14142171,cg23130075,cg14893161,cg00026375,cg10930308,cg27022933,cg09811317,cg01347228,cg10945539,cg15258416,cg27038439,cg19432362,cg17872886,cg07157834,cg16078649,cg18459618,cg24404630,cg06148175,cg13918754,cg24840099,cg22454011,cg17835678,cg23721712,cg26354017,cg01754756,cg20349812,cg15056105,cg26667946,cg02674384,cg24755996,cg11857033,cg15848031,cg26800803,cg18105675,cg14159672,cg15089314,cg09573585,cg10605681,cg25835179,cg25821304,cg21538208,cg15176413,cg20469139,cg07167872,cg05117982,cg14582057,cg07382347,cg12355172,cg03596034,cg00948524,cg07179033,cg08912051,cg25144207,cg12894325,cg26395382,cg12109566,cg08896939,cg00737978,cg02017534,cg00350199,cg11096993,cg04590184,cg01902605,cg14825976,cg25643819,cg25052156,cg10381888,cg16722947,cg02188185,cg26993102,cg08035082,cg09683562,cg14269973,cg04986336,cg25374649,cg03400060,cg12261786,cg09974661,cg01240599,cg08605991,cg00835279,cg17178900,cg04565008,cg11965913,cg25298725,cg09279736,cg14846965,cg14753599,cg18602114,cg25658983,cg24438909,cg08328513,cg12979844,cg08018585
GSM4299202,0.3316602,0.6224159,0.5529012,0.721063,0.6249478,0.486941,0.4215947,0.6399154,0.7142101,0.6893941,0.7832094,0.2697081,0.5703553,0.4248713,0.3672655,0.2846997,0.3514114,0.5199782,0.1692246,0.1526631,0.4818239,0.404858,0.121973,0.5064791,0.7249187,0.12028944,0.8365859,0.7399371,0.6142559,0.5514628,0.5440085,0.3547509,0.3116395,0.486449,0.3104544,0.494749,0.544199,0.7277736,0.1428812,0.3462634,0.3911209,0.387798,0.4060863,0.2788267,0.3306293,0.8276273,0.2075191,0.7742844,0.2023322,0.743099,0.2167638,0.7351707,0.3946252,0.208889,0.4307429,0.15651925,0.6999451,0.3855212,0.4840269,0.2514337,0.2954183,0.4050203,0.4064268,0.3940356,0.3809997,0.16564733,0.3643555,0.06392863,0.5641437,0.3802779,0.456302,0.1979268,0.5286153,0.3860411,0.3261763,0.4338989,0.5964575,0.1926393,0.8412359,0.4980971,0.1525317,0.850504,0.8612072,0.6661195,0.4123875,0.7369961,0.8117488,0.1830746,0.2912716,0.5015173,0.4162957,0.5221424,0.7531846,0.6145867,0.504423,0.8004221,0.440378,0.60222,0.4578907,0.1717132,0.20614206,0.5494687,0.4768463,0.518523,0.5603356,0.4558091,0.4343977,0.7471596,0.3947029,0.3373555
GSM4299206,0.2971563,0.6168042,0.7713923,0.6872792,0.6305619,0.4509821,0.5015686,0.8274856,0.7906018,0.7612549,0.7109152,0.6104913,0.6929591,0.4532167,0.4596218,0.26034,0.2630176,0.5684089,0.4710301,0.1567513,0.5485453,0.4458894,0.11644645,0.3846076,0.7961408,0.10785251,0.7599183,0.7852715,0.7735397,0.7755637,0.567527,0.3077188,0.2478903,0.5576877,0.2678717,0.4593362,0.4374789,0.762095,0.1519201,0.7119073,0.4132319,0.3800207,0.2689137,0.3144618,0.3281026,0.8212448,0.1850613,0.6852066,0.2059242,0.785633,0.6238873,0.7433818,0.3740643,0.3879876,0.475804,0.12701893,0.4946092,0.3866541,0.4314818,0.6508672,0.2823405,0.3974792,0.3673259,0.4427159,0.2844019,0.10940137,0.3050093,0.04899673,0.4813329,0.4369268,0.4630871,0.1935378,0.4956478,0.3385783,0.2928952,0.4576863,0.6818637,0.1765286,0.878471,0.3347574,0.3123005,0.7333864,0.8702916,0.7463035,0.426336,0.7838268,0.8056428,0.1655948,0.3024998,0.5115597,0.3530272,0.6228048,0.7324142,0.793926,0.5445986,0.826413,0.5982142,0.7846679,0.4862318,0.5006927,0.29392086,0.483671,0.3779023,0.5496598,0.561613,0.4189339,0.4160986,0.79682,0.3858841,0.412122
GSM4299207,0.217749,0.5669124,0.5832766,0.6357587,0.5858381,0.4377983,0.5426313,0.5654373,0.7359139,0.6234306,0.6463275,0.6014203,0.5568807,0.4325671,0.3152129,0.2011475,0.3318028,0.5843645,0.4294531,0.1887867,0.419986,0.4423668,0.10628731,0.2995937,0.6767287,0.11589412,0.6534547,0.7804228,0.584783,0.7651915,0.5536929,0.2843182,0.2010576,0.543065,0.2306534,0.3697689,0.3614548,0.7822784,0.1501026,0.7255232,0.3019757,0.4737565,0.2820572,0.2547577,0.2902094,0.8540039,0.2054908,0.6244548,0.1926976,0.7282704,0.5705633,0.7226229,0.3352165,0.2700149,0.4912578,0.1264179,0.4821203,0.4371378,0.4091273,0.6152034,0.3410495,0.3690402,0.3757081,0.5231604,0.2607726,0.11540342,0.3068881,0.03896437,0.5044948,0.4074349,0.3866402,0.2071304,0.4521992,0.2962324,0.3107853,0.4732439,0.6437246,0.2015358,0.8071586,0.316826,0.2680119,0.7210533,0.869556,0.6838208,0.4569628,0.779224,0.8278991,0.1679059,0.2683279,0.5467656,0.3308728,0.5326003,0.7423026,0.5637235,0.5466921,0.8087177,0.3353273,0.7205637,0.494204,0.4982045,0.20845075,0.4373647,0.3916529,0.5000435,0.49037,0.3845806,0.4013308,0.6766466,0.3534322,0.2932441
GSM4299214,0.2217807,0.6750399,0.7330993,0.7457624,0.6693319,0.4578131,0.5127123,0.661955,0.7267208,0.7674947,0.7788254,0.8621676,0.6159771,0.5307787,0.3514465,0.2422012,0.4913531,0.5525401,0.8439127,0.1749789,0.6362367,0.4056792,0.13544436,0.3647384,0.6845956,0.12345918,0.7228419,0.7574364,0.7229632,0.8943985,0.5824302,0.2573571,0.2421836,0.5207856,0.5452786,0.4013464,0.4259522,0.773917,0.148201,0.8858165,0.3336783,0.4382734,0.2367313,0.2971726,0.3391582,0.7935953,0.1660143,0.650736,0.2221239,0.6827751,0.9119007,0.7362207,0.3528818,0.3653375,0.5148505,0.10867674,0.5210323,0.4731613,0.4068426,0.7758646,0.3593359,0.3792549,0.4446859,0.4812056,0.3722762,0.11776773,0.4172397,0.05917543,0.4725467,0.4028966,0.43586,0.150493,0.4904338,0.3420385,0.321927,0.4245878,0.6288655,0.2000211,0.8196643,0.3477717,0.2028884,0.8647509,0.8596424,0.7361625,0.5513733,0.7684254,0.8282665,0.1243908,0.3226343,0.5053258,0.3218367,0.6468274,0.7009919,0.56875,0.497046,0.7633709,0.3825286,0.8784711,0.4579246,0.8601383,0.17101921,0.5612323,0.3427827,0.482583,0.4812607,0.4139708,0.4317242,0.7942611,0.4118302,0.336499
GSM4299216,0.2077535,0.6467392,0.7512848,0.698055,0.6336319,0.4283701,0.5142169,0.7622435,0.7584844,0.7474878,0.4972224,0.2201805,0.6071378,0.4736751,0.3914269,0.2944765,0.3773701,0.557063,0.1712363,0.1817751,0.5312584,0.4075995,0.1592125,0.4068526,0.7852405,0.13777471,0.6370703,0.7295099,0.7851326,0.5387359,0.5608883,0.3303868,0.2612638,0.5241233,0.2777426,0.3234668,0.4298189,0.7877896,0.1522308,0.2283928,0.4106953,0.4756596,0.2929392,0.24982,0.2954819,0.8201923,0.2228017,0.6003777,0.2219575,0.8207012,0.2331506,0.7352594,0.3476149,0.3871063,0.5077874,0.16145749,0.3356389,0.4240711,0.4151505,0.2850103,0.3803832,0.4039831,0.4080958,0.5083812,0.3179446,0.1299554,0.354698,0.06442904,0.430808,0.4086319,0.4595019,0.1984511,0.4732756,0.3473386,0.3043239,0.4534527,0.6517852,0.1743246,0.8597938,0.3413837,0.1895142,0.6735921,0.8589223,0.7352665,0.5048083,0.7665629,0.7693309,0.1813414,0.1968349,0.5120523,0.3382576,0.6532013,0.7202848,0.7177059,0.5343847,0.7870143,0.4878853,0.5158153,0.4848378,0.1334681,0.20646141,0.5129192,0.3935598,0.5185166,0.583837,0.3675352,0.3908335,0.782953,0.3349565,0.3905515
GSM4299217,0.254173,0.5688936,0.730968,0.6577791,0.5576749,0.4475603,0.4162666,0.6148026,0.713042,0.7137612,0.597927,0.3856689,0.5407141,0.4344747,0.333781,0.2173832,0.3275452,0.4569576,0.2906304,0.1568328,0.4067621,0.332115,0.152578,0.3791253,0.7392434,0.11003532,0.7532568,0.8016088,0.6769197,0.6250651,0.532515,0.3151167,0.238015,0.4418589,0.2151291,0.4334938,0.3968248,0.6820683,0.1694327,0.5338793,0.3612599,0.4364879,0.239188,0.2634059,0.3325477,0.8775881,0.167614,0.6512724,0.2293223,0.6948907,0.3806888,0.7331333,0.3250141,0.3214852,0.3868868,0.12911885,0.5983143,0.4448053,0.4059759,0.4101971,0.3688457,0.3762825,0.3361537,0.3810853,0.3121208,0.1445035,0.2916164,0.07980518,0.5149831,0.3386778,0.4118625,0.1858251,0.4445979,0.304351,0.278562,0.3662092,0.5823951,0.2156859,0.8287274,0.264163,0.2333552,0.7447576,0.8487202,0.7579972,0.4129474,0.7345329,0.8027536,0.1594141,0.2465058,0.4925895,0.3572835,0.6191555,0.6390527,0.5939508,0.4410461,0.8184528,0.4022009,0.6620478,0.420716,0.1891417,0.28068312,0.4538961,0.3586914,0.4761033,0.5076892,0.4158305,0.4006126,0.7664877,0.3696933,0.38715
GSM4299218,0.2498936,0.570189,0.6700435,0.6258938,0.5884456,0.5056466,0.5132661,0.6585194,0.7521872,0.6951409,0.7971838,0.611488,0.5930692,0.4189015,0.3448499,0.2822453,0.4134197,0.5776432,0.5034198,0.2156178,0.3843683,0.4516045,0.12133,0.4018372,0.751826,0.12487237,0.7245821,0.8033684,0.6646343,0.7507766,0.5044144,0.2979608,0.3155064,0.5599801,0.1989562,0.3840338,0.5147271,0.7298798,0.1509566,0.7192321,0.3379561,0.4066556,0.381878,0.3326069,0.3155942,0.8257385,0.2443786,0.6464324,0.1690352,0.7578667,0.5727101,0.7419202,0.3277592,0.3792595,0.5462094,0.17519679,0.4820003,0.4137786,0.4588343,0.6154585,0.2929559,0.3941269,0.3408644,0.4916572,0.2900099,0.15738456,0.2908004,0.08198517,0.5105474,0.4303279,0.3800198,0.19166,0.4630844,0.4011857,0.3496128,0.4866747,0.6796795,0.2039775,0.8099465,0.4285035,0.2407712,0.8830701,0.8602241,0.8112622,0.3849401,0.7790535,0.7596592,0.2014746,0.3115574,0.5121207,0.4179559,0.5816781,0.7210726,0.6448822,0.5435014,0.8410024,0.4002475,0.7237679,0.4963722,0.5163059,0.24448448,0.4656163,0.4362059,0.5176131,0.5075622,0.4534962,0.425712,0.7635666,0.3590025,0.3528574
GSM4299226,0.2323882,0.5080675,0.5231243,0.6072529,0.5169376,0.4479195,0.3666022,0.5277806,0.6499529,0.6731393,0.5490735,0.8783179,0.5407172,0.3296147,0.3443925,0.2110092,0.2816926,0.4275826,0.5477557,0.202066,0.2995597,0.3084296,0.1988374,0.4822612,0.6535454,0.13109469,0.7940831,0.6497189,0.6374473,0.923092,0.4875492,0.3255927,0.2459826,0.3977771,0.2550455,0.5676707,0.4411684,0.8017941,0.1369421,0.8245368,0.3216995,0.2857551,0.3507698,0.2533376,0.2074026,0.8897831,0.2352397,0.7859738,0.1946545,0.6373784,0.7436675,0.6532252,0.2832224,0.2049606,0.2770311,0.18456142,0.4464755,0.4584816,0.4612729,0.6092072,0.1980505,0.3390954,0.3538538,0.2886533,0.3179416,0.12372378,0.2560616,0.07359981,0.5854626,0.324271,0.4075433,0.139743,0.4763462,0.3582334,0.2586684,0.3177517,0.519843,0.201545,0.7860812,0.3294621,0.1776427,0.5127252,0.8206545,0.7889255,0.3028935,0.6598596,0.8410255,0.176607,0.2261298,0.4842398,0.3557411,0.5237751,0.6424429,0.5065739,0.3786675,0.8137626,0.3643743,0.8865549,0.3719181,0.5329642,0.1586779,0.4800968,0.3921347,0.4554282,0.45732,0.3416316,0.3851513,0.7292237,0.2905201,0.5201252
GSM4299229,0.2438096,0.6416272,0.5249766,0.7471634,0.657506,0.5569648,0.3549508,0.599873,0.7637513,0.6952693,0.6339546,0.8111455,0.5982697,0.4872464,0.4009983,0.3092701,0.3509091,0.3885541,0.587652,0.1991653,0.6507201,0.3325845,0.16413387,0.4877159,0.7087068,0.12509713,0.7797304,0.7855536,0.7064049,0.8749952,0.6058692,0.3225386,0.2065898,0.401703,0.3150412,0.4116271,0.422402,0.7449347,0.1578726,0.8045991,0.3709698,0.4743042,0.3635496,0.2554271,0.2927977,0.8572805,0.210805,0.7091111,0.2432956,0.6801945,0.7762794,0.7035233,0.3349083,0.3338912,0.3077029,0.14110447,0.5898111,0.5308709,0.4994546,0.5414814,0.3820004,0.3862816,0.4515328,0.3096809,0.4099945,0.1315855,0.334899,0.04604505,0.5742362,0.3595091,0.457098,0.1569533,0.5930746,0.3469846,0.2889042,0.3024997,0.499352,0.2211471,0.8062017,0.4136258,0.184361,0.7633162,0.8697283,0.7226671,0.4519005,0.7603946,0.8497826,0.1648944,0.2980983,0.4503692,0.3646358,0.531109,0.7161103,0.5961086,0.3543784,0.8100866,0.389347,0.8062236,0.3463505,0.6297121,0.23320289,0.539449,0.411086,0.4847427,0.5165319,0.4647891,0.401759,0.7177343,0.4524874,0.4636419
GSM4299232,0.2353746,0.6289012,0.520215,0.7617095,0.6849915,0.2747941,0.4453512,0.5529793,0.7205517,0.6522124,0.4251812,0.5860743,0.5801587,0.5292408,0.2881457,0.1724824,0.3666747,0.5648081,0.4228534,0.1836141,0.6279162,0.4353187,0.17072155,0.3173658,0.667169,0.11982853,0.805412,0.7694649,0.6550081,0.7369476,0.5740543,0.2031939,0.1826875,0.5056293,0.4027593,0.4663834,0.3759731,0.7132214,0.1464281,0.6590593,0.2979021,0.3002787,0.3018312,0.4516614,0.4179844,0.853384,0.1422105,0.745786,0.1864442,0.7253352,0.607628,0.7746839,0.3107765,0.2922733,0.4353198,0.15239165,0.51159,0.3886547,0.2291954,0.5251507,0.2531354,0.3000212,0.4983846,0.4683115,0.1747885,0.06066926,0.3647359,0.06987947,0.5626354,0.4338667,0.3464523,0.141524,0.3399497,0.2547194,0.425864,0.4460588,0.6307909,0.1222854,0.8032201,0.2804251,0.2201359,0.5965008,0.8734727,0.7919059,0.5187014,0.7824445,0.8098035,0.1355398,0.3861166,0.4977233,0.3195627,0.5926173,0.6267277,0.5488945,0.5034447,0.7850722,0.3479223,0.7899532,0.4726051,0.4797636,0.26050429,0.5557748,0.3247074,0.4573033,0.4249295,0.4867902,0.4003374,0.7500141,0.446244,0.527733
